rank,frequency
1,3515
2,2099
3,1590
4,263
5,129
6,109
7,83
8,76
9,15
10,13
11,12
12,12
13,9
14,8
15,8
16,8
17,7
18,7
19,7
20,6
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,3
47,3
48,3
49,3
50,3
